name,cpus,rate,repeat,status,phase,runtime_error,host_contention_flagged,host_iowait_percent,achieved,baseline_rate,warmup_rate,capture_p95_ms,admission_p95_ms,apply_p95_ms,publication_p95_ms,drain_seconds,oltp_p95_ms,baseline_oltp_p95_ms,lag_p95_ms,lag_p99_ms,average_cpu_cores,peak_memory_mib,peak_backlog_bytes,last_backlog_bytes,observer_busy_samples,within_5s_p95,offered_load_met
01-cpu4-rate250-r1,4,250,1,measured,complete,,False,10.352,250.011,250.19,249.892,99361.155,101926.117,3773,649,107.6,16.706,8.426,105264.117,107728.637,0.767,1144.3,25677,23804,601,False,True
02-cpu16-rate250-r3,16,250,3,measured,complete,,False,10.394,249.989,250.192,249.913,99691.769,101809.431,3879,633,108.18,16.725,8.414,105101.431,108409.962,1.075,1248.1,24798,12991,618,False,True
03-cpu16-rate50-r3,16,50,3,measured,complete,,False,5.671,50.04,50.36,50.349,270.039,2196.657,1311,415,3.209,13.102,8.555,3711.352,3936.899,1.205,1230.5,13228,12353,77,True,True
04-cpu16-rate50-r1,16,50,1,measured,complete,,False,5.679,50.037,50.359,50.346,276.203,2290.394,1647,449,2.107,12.064,8.477,4053.017,4590.279,1.221,1206.3,15156,12760,85,True,True
05-cpu8-rate250-r1,8,250,1,measured,complete,,False,10.546,249.991,250.195,249.652,99057.217,100332.525,3776,655,106.762,16.572,8.414,103656.525,107485.643,0.8,1167.0,35197,18194,611,False,True
06-cpu16-rate250-r2,16,250,2,runtime_failed,warmup,incremental_batch_failed_requires_resync,False,,,250.197,250.09,,,,,,,8.429,,,,,,,17,,
07-cpu4-rate250-r3,4,250,3,runtime_failed,drain,incremental_batch_failed_requires_resync,False,10.307,250.012,250.2,250.119,,,,,,16.534,8.426,,,0.788,1144.1,25652,20053,337,,True
08-cpu16-rate250-r1,16,250,1,runtime_failed,drain,incremental_batch_failed_requires_resync,False,10.34,250.001,250.199,249.628,,,,,,16.955,8.36,,,1.16,1217.3,24365,24365,243,,True
09-cpu4-rate250-r2,4,250,2,runtime_failed,warmup,incremental_batch_failed_requires_resync,False,,,250.122,250.13,,,,,,,8.451,,,,,,,19,,
10-cpu16-rate1000-r2,16,1000,2,runtime_failed,drain,publication_drain_timeout,False,12.651,659.54,884.383,634.709,,,,,,18.736,12.646,,,1.224,1314.3,27297,25454,728,,False
11-cpu8-rate50-r2,8,50,2,measured,complete,,False,5.886,50.04,50.361,50.358,271.64,2276.156,1363,445,2.306,13.125,8.44,3954.07,4953.681,0.898,1163.8,17366,10054,88,True,True
12-cpu8-rate250-r3,8,250,3,runtime_failed,drain,incremental_batch_failed_requires_resync,False,10.673,249.994,250.181,250.034,,,,,,16.581,8.432,,,0.939,1203.5,22180,18843,256,,True
13-cpu4-rate50-r3,4,50,3,measured,complete,,False,5.925,50.033,50.361,50.35,272.35,2165.393,1186,429,2.31,12.236,8.491,3685.787,3901.531,0.768,1098.4,13595,10296,89,True,True
14-cpu4-rate1000-r3,4,1000,3,runtime_failed,warmup,incremental_batch_failed_requires_resync,False,,,884.424,613.533,,,,,,,12.676,,,,,,,55,,
15-cpu16-rate1000-r1,16,1000,1,runtime_failed,warmup,incremental_batch_failed_requires_resync,False,,,874.882,639.383,,,,,,,12.758,,,,,,,51,,
16-cpu8-rate50-r3,8,50,3,measured,complete,,False,5.861,50.036,50.361,50.338,306.338,2309.075,1611,448,2.506,13.016,8.436,4102.072,4695.799,0.925,1146.7,16445,11627,95,True,True
17-cpu8-rate1000-r2,8,1000,2,runtime_failed,drain,publication_drain_timeout,False,12.747,656.293,873.191,627.775,,,,,,18.708,12.726,,,1.055,1245.4,28842,12584,736,,False
18-cpu8-rate50-r1,8,50,1,measured,complete,,False,4.94,50.04,50.362,50.348,392.125,2387.025,1419,434,4.113,15.956,8.401,4037.252,4359.25,0.897,1184.4,14821,13002,121,True,True
19-cpu4-rate50-r1,4,50,1,measured,complete,,False,5.898,50.038,50.354,50.345,310.929,2219.96,1266,430,2.207,14.535,8.661,3818.934,4219.428,0.752,1129.2,14702,9042,94,True,True
20-cpu4-rate1000-r1,4,1000,1,runtime_failed,warmup,incremental_batch_failed_requires_resync,False,,,875.125,608.277,,,,,,,12.749,,,,,,,93,,
21-cpu4-rate1000-r2,4,1000,2,runtime_failed,drain,publication_drain_timeout,False,11.892,618.182,894.3,626.953,,,,,,19.917,12.597,,,1.053,1192.3,21901,14806,759,,False
22-cpu8-rate250-r2,8,250,2,runtime_failed,warmup,incremental_batch_failed_requires_resync,False,,,250.195,249.801,,,,,,,8.396,,,,,,,35,,
23-cpu8-rate1000-r3,8,1000,3,runtime_failed,drain,publication_drain_timeout,True,9.778,610.471,873.143,634.21,,,,,,20.664,12.723,,,1.078,1250.5,30492,30492,757,,False
24-cpu16-rate1000-r3,16,1000,3,runtime_failed,drain,publication_drain_timeout,True,13.268,354.224,450.113,322.244,,,,,,32.908,23.948,,,0.989,1318.7,11351,10637,828,,False
25-cpu4-rate50-r2,4,50,2,measured,complete,,True,9.038,50.028,50.334,50.27,50433.99,52744.262,3161,1871,55.871,151.692,12.488,55433.813,56195.185,0.465,2607.4,10610,7113,381,False,True
26-cpu8-rate1000-r1,8,1000,1,runtime_failed,drain,publication_drain_timeout,True,11.169,251.084,139.419,353.348,,,,,,107.597,135.796,,,0.642,1973.5,11305,9520,772,,False
27-cpu16-rate50-r2,16,50,2,measured,complete,,True,7.034,50.034,50.332,50.238,46722.012,49053.054,3045,2115,53.276,126.487,12.772,51284.27,52555.754,0.718,2813.3,11653,6399,396,False,True
