name,cpus,rate,repeat,status,phase,runtime_error,host_contention_flagged,host_iowait_percent,achieved,baseline_rate,warmup_rate,capture_p95_ms,admission_p95_ms,apply_p95_ms,publication_p95_ms,drain_seconds,oltp_p95_ms,baseline_oltp_p95_ms,lag_p95_ms,lag_p99_ms,average_cpu_cores,peak_memory_mib,peak_backlog_bytes,last_backlog_bytes,observer_busy_samples,within_5s_p95,offered_load_met,matrix_repeat,source_matrix,include_in_quiet_comparison
01-cpu16-rate50-r2-attempt1/01-cpu16-rate50-r1,16,50,2,measured,complete,,False,5.642,50.04,50.362,50.315,275.322,2129.029,1156,433,2.206,13.303,8.528,3636.206,3870.92,1.23,3760.6,13476,10054,90,True,True,1,matrices/01-cpu16-rate50-r2-attempt1/matrix.json,True
02-cpu4-rate50-r1-attempt1/01-cpu4-rate50-r1,4,50,1,measured,complete,,False,5.829,50.038,50.36,50.342,273.721,2294.512,1599,424,2.208,12.857,8.615,3915.407,4571.986,0.764,1162.6,15884,13244,94,True,True,1,matrices/02-cpu4-rate50-r1-attempt1/matrix.json,True
03-cpu4-rate50-r3-attempt1/01-cpu4-rate50-r1,4,50,3,measured,complete,,False,5.844,50.035,50.36,50.348,274.628,2110.617,1187,427,2.709,12.417,8.527,3560.076,3762.373,0.75,1132.2,13211,8195,83,True,True,1,matrices/03-cpu4-rate50-r3-attempt1/matrix.json,True
04-cpu16-rate50-r3-attempt1/01-cpu16-rate50-r1,16,50,3,measured,complete,,False,5.664,50.04,50.361,50.344,273.602,2656.635,1590,411,3.51,13.79,8.501,4688.484,5256.118,1.17,1234.5,17961,16182,81,True,True,1,matrices/04-cpu16-rate50-r3-attempt1/matrix.json,True
05-cpu16-rate50-r1-attempt1/01-cpu16-rate50-r1,16,50,1,measured,complete,,False,5.698,50.028,50.359,50.334,311.56,2199.964,1207,432,3.509,13.04,8.543,3772.964,4102.885,1.212,1241.7,13365,13365,97,True,True,1,matrices/05-cpu16-rate50-r1-attempt1/matrix.json,True
06-cpu4-rate50-r2-attempt1/01-cpu4-rate50-r1,4,50,2,measured,complete,,False,5.804,50.038,50.351,50.347,273.667,2281.155,1614,415,2.908,12.191,8.491,4061.208,4665.948,0.756,1102.3,15756,10010,89,True,True,1,matrices/06-cpu4-rate50-r2-attempt1/matrix.json,True
07-cpu16-rate1000-r2-attempt1/01-cpu16-rate1000-r1,16,1000,2,runtime_failed,drain,incremental_batch_failed_requires_resync,False,12.483,652.824,885.843,610.516,,,,,,18.821,12.557,,,1.21,1319.2,25631,16456,428,,False,1,matrices/07-cpu16-rate1000-r2-attempt1/matrix.json,True
08-cpu8-rate1000-r1-attempt1/01-cpu8-rate1000-r1,8,1000,1,runtime_failed,drain,publication_drain_timeout,False,12.637,653.265,859.313,641.423,,,,,,18.668,12.788,,,1.055,1275.6,26213,13596,746,,False,1,matrices/08-cpu8-rate1000-r1-attempt1/matrix.json,True
09-cpu8-rate1000-r3-attempt1/01-cpu8-rate1000-r1,8,1000,3,runtime_failed,warmup,incremental_batch_failed_requires_resync,False,,,884.691,627.809,,,,,,,12.703,,,,,,,72,,,1,matrices/09-cpu8-rate1000-r3-attempt1/matrix.json,True
10-cpu16-rate1000-r3-attempt1/01-cpu16-rate1000-r1,16,1000,3,runtime_failed,drain,incremental_batch_failed_requires_resync,False,12.468,652.864,882.753,631.932,,,,,,18.854,12.749,,,1.155,1297.3,33659,19844,491,,False,1,matrices/10-cpu16-rate1000-r3-attempt1/matrix.json,True
11-cpu16-rate1000-r1-attempt1/01-cpu16-rate1000-r1,16,1000,1,runtime_failed,drain,incremental_batch_failed_requires_resync,False,11.661,815.576,858.852,613.372,,,,,,15.019,12.96,,,0.487,1191.2,22122,22122,185,,False,1,matrices/11-cpu16-rate1000-r1-attempt1/matrix.json,True
12-cpu8-rate1000-r2-attempt1/01-cpu8-rate1000-r1,8,1000,2,runtime_failed,drain,incremental_batch_failed_requires_resync,False,11.521,781.205,868.316,640.2,,,,,,15.921,12.771,,,0.585,1220.0,24633,24633,210,,False,1,matrices/12-cpu8-rate1000-r2-attempt1/matrix.json,True
