name,cpus,rate,repeat,status,phase,runtime_error,host_contention_flagged,host_iowait_percent,achieved,baseline_rate,warmup_rate,capture_p95_ms,admission_p95_ms,apply_p95_ms,publication_p95_ms,drain_seconds,oltp_p95_ms,baseline_oltp_p95_ms,lag_p95_ms,lag_p99_ms,average_cpu_cores,peak_memory_mib,peak_backlog_bytes,last_backlog_bytes,observer_busy_samples,within_5s_p95,offered_load_met,kind,profile,matrix_repeat,source_matrix,include_in_quiet_comparison
01-calibration-cpu4-rate50-r1-p0-attempt1/01-cpu4-rate50-r1,4,50,1,measured,complete,,False,5.818,50.036,50.357,50.352,312.714,2193.892,1197,415,2.809,12.233,8.515,3696.675,3895.989,0.757,1083.8,13393,7590,97,True,True,calibration,False,1,matrices/01-calibration-cpu4-rate50-r1-p0-attempt1/matrix.json,True
02-calibration-cpu4-rate50-r1-p1-attempt1/01-cpu4-rate50-r1,4,50,1,measured,complete,,False,5.842,50.025,50.346,50.346,265.116,2183.769,1245,448,3.413,12.539,8.489,3663.729,3857.968,0.772,1176.5,13274,10901,81,True,True,calibration,True,1,matrices/02-calibration-cpu4-rate50-r1-p1-attempt1/matrix.json,True
03-calibration-cpu4-rate50-r2-p1-attempt1/01-cpu4-rate50-r1,4,50,2,measured,complete,,False,5.927,50.034,50.346,50.322,273.428,2157.979,1212,437,3.013,12.999,8.551,3664.372,3950.104,0.778,1124.0,13321,13321,86,True,True,calibration,True,1,matrices/03-calibration-cpu4-rate50-r2-p1-attempt1/matrix.json,True
04-calibration-cpu4-rate50-r2-p0-attempt1/01-cpu4-rate50-r1,4,50,2,measured,complete,,False,5.864,50.038,50.349,50.342,273.354,2395.567,2176,435,3.311,11.707,8.446,4498.955,5269.95,0.757,1117.7,17171,11385,86,True,True,calibration,False,1,matrices/04-calibration-cpu4-rate50-r2-p0-attempt1/matrix.json,True
05-calibration-cpu4-rate50-r3-p0-attempt1/01-cpu4-rate50-r1,4,50,3,measured,complete,,False,5.813,50.038,50.349,50.341,275.409,2236.282,1609,411,3.61,14.279,8.68,3850.888,4368.94,0.768,1154.2,15180,15180,85,True,True,calibration,False,1,matrices/05-calibration-cpu4-rate50-r3-p0-attempt1/matrix.json,True
06-calibration-cpu4-rate50-r3-p1-attempt1/01-cpu4-rate50-r1,4,50,3,measured,complete,,False,5.848,50.038,50.344,50.361,270.244,2231.215,1263,423,3.414,12.733,8.503,3774.739,3992.34,0.784,1166.3,13942,11022,85,True,True,calibration,True,1,matrices/06-calibration-cpu4-rate50-r3-p1-attempt1/matrix.json,True
07-matrix-cpu16-rate50-r2-p1-attempt1/01-cpu16-rate50-r1,16,50,2,measured,complete,,False,5.733,50.034,50.359,50.36,301.093,2235.403,1230,432,2.912,13.734,8.535,3765.403,3988.892,1.234,1224.6,13442,13442,91,True,True,matrix,True,1,matrices/07-matrix-cpu16-rate50-r2-p1-attempt1/matrix.json,True
08-matrix-cpu4-rate50-r1-p1-attempt1/01-cpu4-rate50-r1,4,50,1,measured,complete,,False,5.824,50.037,50.359,50.315,276.363,2428.377,1698,420,3.414,12.222,8.606,4360.628,4792.242,0.791,1189.4,16669,15454,96,True,True,matrix,True,1,matrices/08-matrix-cpu4-rate50-r1-p1-attempt1/matrix.json,True
09-matrix-cpu4-rate50-r3-p1-attempt1/01-cpu4-rate50-r1,4,50,3,measured,complete,,False,5.837,50.039,50.36,50.356,276.65,2298.519,1686,439,3.715,12.864,8.551,4031.367,4511.877,0.793,1174.3,14836,14212,88,True,True,matrix,True,1,matrices/09-matrix-cpu4-rate50-r3-p1-attempt1/matrix.json,True
10-matrix-cpu16-rate50-r3-p1-attempt1/01-cpu16-rate50-r1,16,50,3,measured,complete,,False,5.697,50.035,50.361,50.34,272.872,2865.682,2523,428,2.811,12.408,8.487,4944.655,5490.43,1.16,1214.5,18318,13365,92,True,True,matrix,True,1,matrices/10-matrix-cpu16-rate50-r3-p1-attempt1/matrix.json,True
